mobai--列表,#genre#
甘肃卫视,http://ott.mobaibox.com/PLTV/4/224/3221227568/index.m3u8
宁夏卫视,http://ott.mobaibox.com/PLTV/3/224/3221225842/index.m3u8
农林卫视,http://ott.mobaibox.com/PLTV/4/224/3221227015/index.m3u8
青海卫视,http://ott.mobaibox.com/PLTV/4/224/3221227554/index.m3u8
内蒙卫视,http://ott.mobaibox.com/PLTV/3/224/3221225836/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/3/224/3221226376/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/4/224/3221228290/index.m3u8
兵团卫视,http://ott.mobaibox.com/PLTV/4/224/3221227025/index.m3u8
康巴卫视,http://ott.mobaibox.com/PLTV/4/224/3221227008/index.m3u8
安多卫视,http://ott.mobaibox.com/PLTV/4/224/3221226999/index.m3u8
三沙卫视,http://ott.mobaibox.com/PLTV/4/224/3221228626/index.m3u8
大湾区卫视,http://ott.mobaibox.com/PLTV/4/224/3221228326/index.m3u8
卡酷少儿,http://ott.mobaibox.com/PLTV/4/224/3221227566/index.m3u8
嘉佳卡通,http://ott.mobaibox.com/PLTV/4/224/3221227009/index.m3u8
优漫卡通,http://ott.mobaibox.com/PLTV/4/224/3221227577/index.m3u8
金鹰卡通,http://ott.mobaibox.com/PLTV/4/224/3221226303/index.m3u8
金鹰纪实,http://ott.mobaibox.com/PLTV/4/224/3221228110/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/4/224/3221225567/index.m3u8
黑莓动画,http://ott.mobaibox.com/PLTV/4/224/3221225555/index.m3u8
哒啵赛事,http://ott.mobaibox.com/PLTV/4/224/3221225539/index.m3u8
炫舞未来,http://ott.mobaibox.com/PLTV/4/224/3221227475/index.m3u8
热播精选,http://ott.mobaibox.com/PLTV/4/224/3221227512/index.m3u8
潮妈辣婆,http://ott.mobaibox.com/PLTV/4/224/3221227527/index.m3u8
中国功夫,http://ott.mobaibox.com/PLTV/4/224/3221227530/index.m3u8
惊悚悬疑,http://ott.mobaibox.com/PLTV/4/224/3221227536/index.m3u8
海外剧场,http://ott.mobaibox.com/PLTV/4/224/3221227539/index.m3u8
谍战大剧,http://ott.mobaibox.com/PLTV/4/224/3221227541/index.m3u8
古装剧场,http://ott.mobaibox.com/PLTV/4/224/3221227542/index.m3u8
军事评论,http://ott.mobaibox.com/PLTV/4/224/3221227544/index.m3u8
烽烟剧场,http://ott.mobaibox.com/PLTV/4/224/3221227547/index.m3u8
爱情喜剧,http://ott.mobaibox.com/PLTV/4/224/3221227548/index.m3u8
农业致富,http://ott.mobaibox.com/PLTV/4/224/3221227588/index.m3u8
明星大片,http://ott.mobaibox.com/PLTV/4/224/3221227594/index.m3u8
家庭剧场,http://ott.mobaibox.com/PLTV/4/224/3221227600/index.m3u8
军旅剧场,http://ott.mobaibox.com/PLTV/4/224/3221227603/index.m3u8
动作电影,http://ott.mobaibox.com/PLTV/4/224/3221227606/index.m3u8
怡伴健康,http://ott.mobaibox.com/PLTV/4/224/3221227612/index.m3u8
精品体育,http://ott.mobaibox.com/PLTV/4/224/3221227615/index.m3u8
精品大剧,http://ott.mobaibox.com/PLTV/4/224/3221227618/index.m3u8
精品萌宠,http://ott.mobaibox.com/PLTV/4/224/3221228430/index.m3u8
睛彩青少,http://ott.mobaibox.com/PLTV/4/224/3221228729/index.m3u8
睛彩篮球,http://ott.mobaibox.com/PLTV/4/224/3221228234/index.m3u8
睛彩竞技,http://ott.mobaibox.com/PLTV/4/224/3221228206/index.m3u8
睛彩广场舞,http://ott.mobaibox.com/PLTV/4/224/3221228231/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221228744/index.m3u8
江苏城市,http://ott.mobaibox.com/PLTV/4/224/3221225929/index.m3u8
江苏教育,http://ott.mobaibox.com/PLTV/4/224/3221228613/index.m3u8
江苏体育,http://ott.mobaibox.com/PLTV/4/224/3221225935/index.m3u8
江苏新闻,http://ott.mobaibox.com/PLTV/4/224/3221225925/index.m3u8
江苏影视,http://ott.mobaibox.com/PLTV/4/224/3221228728/index.m3u8
江苏综艺,http://ott.mobaibox.com/PLTV/4/224/3221225931/index.m3u8
江苏卡通,http://ott.mobaibox.com/PLTV/4/224/3221227577/index.m3u8
南京教科,http://ott.mobaibox.com/PLTV/4/224/3221227194/index.m3u8
南京少儿,http://ott.mobaibox.com/PLTV/4/224/3221227733/index.m3u8
南京影视,http://ott.mobaibox.com/PLTV/4/224/3221227719/index.m3u8
南京生活,http://ott.mobaibox.com/PLTV/4/224/3221227178/index.m3u8
南京文旅,http://ott.mobaibox.com/PLTV/4/224/3221227722/index.m3u8
南京综合,http://ott.mobaibox.com/PLTV/4/224/3221227213/index.m3u8
常州都市,http://ott.mobaibox.com/PLTV/4/224/3221227755/index.m3u8
常州生活,http://ott.mobaibox.com/PLTV/4/224/3221227816/index.m3u8
常州生活,http://ott.mobaibox.com/PLTV/4/224/3221227902/index.m3u8
常州综合,http://ott.mobaibox.com/PLTV/4/224/3221227752/index.m3u8
盐城-1台,http://ott.mobaibox.com/PLTV/4/224/3221228435/index.m3u8
盐城-2台,http://ott.mobaibox.com/PLTV/4/224/3221228433/index.m3u8
盐城-3台,http://ott.mobaibox.com/PLTV/4/224/3221228436/index.m3u8
南通-1台,http://ott.mobaibox.com/PLTV/4/224/3221228462/index.m3u8
南通-2台,http://ott.mobaibox.com/PLTV/4/224/3221228448/index.m3u8
南通-3台,http://ott.mobaibox.com/PLTV/4/224/3221228451/index.m3u8
徐州-1台,http://ott.mobaibox.com/PLTV/4/224/3221225945/index.m3u8
徐州-2台,http://ott.mobaibox.com/PLTV/4/224/3221225947/index.m3u8
徐州-3台,http://ott.mobaibox.com/PLTV/4/224/3221225949/index.m3u8
徐州-4台,http://ott.mobaibox.com/PLTV/4/224/3221225951/index.m3u8
铜山-1台,http://ott.mobaibox.com/PLTV/4/224/3221228152/index.m3u8
铜山-2台,http://ott.mobaibox.com/PLTV/4/224/3221228081/index.m3u8
铜山-3台,http://ott.mobaibox.com/PLTV/4/224/3221228055/index.m3u8
铜山-4台,http://ott.mobaibox.com/PLTV/4/224/3221228249/index.m3u8
镇江-1台,http://ott.mobaibox.com/PLTV/4/224/3221228246/index.m3u8
镇江-2台,http://ott.mobaibox.com/PLTV/4/224/3221227325/index.m3u8
镇江-3台,http://ott.mobaibox.com/PLTV/4/224/3221228208/index.m3u8
泰州-1台,http://ott.mobaibox.com/PLTV/4/224/3221228209/index.m3u8
泰州-2台,http://ott.mobaibox.com/PLTV/4/224/3221228212/index.m3u8
泰州-3台,http://ott.mobaibox.com/PLTV/4/224/3221228100/index.m3u8
淮安综合,http://ott.mobaibox.com/PLTV/4/224/3221228834/index.m3u8
淮安影视,http://ott.mobaibox.com/PLTV/4/224/3221228837/index.m3u8
淮安公共,http://ott.mobaibox.com/PLTV/4/224/3221228840/index.m3u8
沛县新闻,http://ott.mobaibox.com/PLTV/4/224/3221227678/index.m3u8
沛县经济,http://ott.mobaibox.com/PLTV/4/224/3221227611/index.m3u8
沛县文艺,http://ott.mobaibox.com/PLTV/4/224/3221227681/index.m3u8
睢宁综合,http://ott.mobaibox.com/PLTV/4/224/3221227706/index.m3u8
睢宁三农,http://ott.mobaibox.com/PLTV/4/224/3221227709/index.m3u8
睢宁资讯,http://ott.mobaibox.com/PLTV/4/224/3221227712/index.m3u8
宿迁公共,http://ott.mobaibox.com/PLTV/4/224/3221226939/index.m3u8
宿迁综合,http://ott.mobaibox.com/PLTV/4/224/3221226944/index.m3u8
连云港综合,http://ott.mobaibox.com/PLTV/4/224/3221227758/index.m3u8
连云港生活,http://ott.mobaibox.com/PLTV/4/224/3221227819/index.m3u8
CETV-3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
新疆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw993550557_162751766/ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8?icpid=3&RTS=1668604377&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
NewTV惊悚悬疑,http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f454c46tw2482771376_951312812/ott.mobaibox.com/PLTV/3/224/3221227536/index.m3u8
NewTV惊悚悬疑,http://ott.mobaibox.com/PLTV/3/224/3221227536/index.m3u8
NewTV动作电影,http://ott.mobaibox.com/PLTV/3/224/3221227606/index.m3u8
[以下为江苏移动可看],http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw4122585160_1534269250/ott.mobaibox.com/PLTV/3/224/3221225935/index.m3u8
江苏体育休闲,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw4122585160_1534269250/ott.mobaibox.com/PLTV/3/224/3221225935/index.m3u8
江苏公共新闻,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/wh7f454c46tw4180964299_994803683/ott.mobaibox.com/PLTV/3/224/3221225925/index.m3u8
江苏城市,http://[2409:8087:2001:20:2800:0:df6e:eb14]/wh7f454c46tw4264340981_727917420/ott.mobaibox.com/PLTV/3/224/3221225929/index.m3u8
江苏综艺,http://[2409:8087:2001:20:2800:0:df6e:eb14]/wh7f454c46tw105610815_-1378935043/ott.mobaibox.com/PLTV/3/224/3221225931/index.m3u8
江苏影视,http://[2409:8087:2001:20:2800:0:df6e:eb14]/wh7f454c46tw25164341_-1061241932/ott.mobaibox.com/PLTV/3/224/3221225937/index.m3u8
江苏教育,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw329009742_-1392321549/ott.mobaibox.com/PLTV/3/224/3221225923/index.m3u8
南京信息,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3029680014_-204362700/ott.mobaibox.com/PLTV/3/224/3221227730/index.m3u8
南京娱乐,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3055198838_-954191684/ott.mobaibox.com/PLTV/3/224/3221227722/index.m3u8
南京新闻综合,http://[2409:8087:2001:20:2800:0:df6e:eb14]/wh7f454c46tw3127461495_-1929938189/ott.mobaibox.com/PLTV/3/224/3221227213/index.m3u8
南京少儿,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3425352611_209642410/ott.mobaibox.com/PLTV/4/224/3221227733/index.m3u8
南京科技,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw3484211223_471033633/ott.mobaibox.com/PLTV/4/224/3221227194/index.m3u8
南京生活,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3530023629_201686832/ott.mobaibox.com/PLTV/4/224/3221227786/index.m3u8
南京十八,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw3568749588_-1882152959/ott.mobaibox.com/PLTV/4/224/3221227178/index.m3u8
南京影视,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3614839407_-1644050596/ott.mobaibox.com/PLTV/4/224/3221227719/index.m3u8
崇川,http://[2409:8087:2001:20:2800:0:df6e:eb25]/wh7f454c46tw1512301981_1454766575/ott.mobaibox.com/PLTV/4/224/3221228533/index.m3u8
